Label_Validator,Emoji,Count,Emoji_Asli
0,emoji_call_me_hand,15,emoji_call_me_hand
0,emoji_eyes,14,emoji_eyes
0,emoji_nauseated_face,5,emoji_nauseated_face
0,emoji_face_vomiting,17,emoji_face_vomiting
0,emoji_tulip,42,emoji_tulip
0,emoji_sauropod,7,emoji_sauropod
0,emoji_index_pointing_at_the_viewer_medium,6,emoji_index_pointing_at_the_viewer_medium
0,emoji_woman_light_skin_tone,2,emoji_woman_light_skin_tone
0,emoji_medical_symbol,1,emoji_medical_symbol
0,emoji_koala,1,emoji_koala
0,emoji_beaver,1,emoji_beaver
0,emoji_unamused_face,32,emoji_unamused_face
0,emoji_two_hearts,27,emoji_two_hearts
0,emoji_cherry_blossom,15,emoji_cherry_blossom
0,emoji_fearful_face,19,emoji_fearful_face
0,emoji_folded_hands_medium_skin_tone,15,emoji_folded_hands_medium_skin_tone
0,emoji_person_running,8,emoji_person_running
0,emoji_double_exclamation_mark,28,emoji_double_exclamation_mark
0,emoji_dove,89,emoji_dove
0,emoji_spider_web,8,emoji_spider_web
0,emoji_cyclone,13,emoji_cyclone
0,emoji_taurus,1,emoji_taurus
0,emoji_face_with_steam_from_nose,18,emoji_face_with_steam_from_nose
0,emoji_thumbs_up_light_skin_tone,34,emoji_thumbs_up_light_skin_tone
0,emoji_persevering_face,7,emoji_persevering_face
0,emoji_see,39,emoji_see
0,emoji_face_with_peeking_eye,16,emoji_face_with_peeking_eye
0,emoji_cat_face,5,emoji_cat_face
0,emoji_hot_face,36,emoji_hot_face
0,emoji_bat,2,emoji_bat
0,emoji_call_me_hand_medium,1,emoji_call_me_hand_medium
0,emoji_tomato,1,emoji_tomato
0,emoji_neutral_face,26,emoji_neutral_face
0,emoji_face_with_monocle,15,emoji_face_with_monocle
0,emoji_camera_with_flash,2,emoji_camera_with_flash
0,emoji_new_moon_face,4,emoji_new_moon_face
0,emoji_check_mark_button,69,emoji_check_mark_button
0,emoji_bird,19,emoji_bird
0,emoji_confounded_face,5,emoji_confounded_face
0,emoji_drooling_face,54,emoji_drooling_face
0,emoji_kissing_face,55,emoji_kissing_face
0,emoji_aries,3,emoji_aries
0,emoji_umbrella,1,emoji_umbrella
0,emoji_mango,1,emoji_mango
0,emoji_avocado,4,emoji_avocado
0,emoji_red_apple,1,emoji_red_apple
0,emoji_grapes,2,emoji_grapes
0,emoji_tangerine,2,emoji_tangerine
0,emoji_clown_face,60,emoji_clown_face
0,emoji_chequered_flag,1,emoji_chequered_flag
0,emoji_sneezing_face,19,emoji_sneezing_face
0,emoji_cowboy_hat_face,1,emoji_cowboy_hat_face
0,emoji_victory_hand_light_skin_tone,9,emoji_victory_hand_light_skin_tone
0,emoji_exploding_head,6,emoji_exploding_head
0,emoji_hushed_face,18,emoji_hushed_face
0,emoji_shushing_face,17,emoji_shushing_face
0,emoji_chart_increasing,19,emoji_chart_increasing
0,emoji_frowning_face,108,emoji_frowning_face
0,emoji_trophy,1,emoji_trophy
0,emoji_toolbox,1,emoji_toolbox
0,emoji_backhand_index_pointing_up,6,emoji_backhand_index_pointing_up
0,emoji_clinking_glasses,2,emoji_clinking_glasses
0,emoji_hand_with_index_finger_and_thumb_crossed_light_skin_tone,6,emoji_hand_with_index_finger_and_thumb_crossed_light_skin_tone
0,emoji_pinching_hand_light_skin_tone,5,emoji_pinching_hand_light_skin_tone
0,emoji_victory_hand,41,emoji_victory_hand
0,emoji_frowning_face_with_open_mouth,2,emoji_frowning_face_with_open_mouth
0,emoji_woman_dancing_light_skin_tone,7,emoji_woman_dancing_light_skin_tone
0,emoji_person_cartwheeling_light_skin_tone,1,emoji_person_cartwheeling_light_skin_tone
0,emoji_eagle,9,emoji_eagle
0,emoji_expressionless_face,51,emoji_expressionless_face
0,emoji_index_pointing_at_the_viewer,28,emoji_index_pointing_at_the_viewer
0,emoji_exclamation_question_mark,4,emoji_exclamation_question_mark
0,emoji_green_apple,1,emoji_green_apple
0,emoji_woozy_face,13,emoji_woozy_face
0,emoji_fairy,6,emoji_fairy
0,emoji_light_skin_tone,1,emoji_light_skin_tone
0,emoji_index_pointing_up_light_skin_tone,14,emoji_index_pointing_up_light_skin_tone
0,emoji_honeybee,4,emoji_honeybee
0,emoji_honey_pot,1,emoji_honey_pot
0,emoji_airplane,6,emoji_airplane
0,emoji_panda,1,emoji_panda
0,emoji_feather,1,emoji_feather
0,emoji_trade_mark,4,emoji_trade_mark
0,emoji_folded_hands_medium,29,emoji_folded_hands_medium
0,emoji_billed_cap,8,emoji_billed_cap
0,emoji_person_cartwheeling,2,emoji_person_cartwheeling
0,emoji_triangular_flag,7,emoji_triangular_flag
0,emoji_last_quarter_moon_face,1,emoji_last_quarter_moon_face
0,emoji_confetti_ball,5,emoji_confetti_ball
0,emoji_merperson,7,emoji_merperson
0,emoji_pinching_hand_medium,1,emoji_pinching_hand_medium
0,emoji_palm_up_hand_light_skin_tone,23,emoji_palm_up_hand_light_skin_tone
0,emoji_kissing_face_with_closed_eyes,18,emoji_kissing_face_with_closed_eyes
0,emoji_love,40,emoji_love
0,emoji_biting_lip,13,emoji_biting_lip
0,emoji_index_pointing_up,10,emoji_index_pointing_up
0,emoji_index_pointing_at_the_viewer_light_skin_tone,30,emoji_index_pointing_at_the_viewer_light_skin_tone
0,emoji_money_with_wings,9,emoji_money_with_wings
0,emoji_credit_card,7,emoji_credit_card
0,emoji_cross_mark,49,emoji_cross_mark
0,emoji_sad_but_relieved_face,25,emoji_sad_but_relieved_face
0,emoji_white_question_mark,1,emoji_white_question_mark
0,emoji_cooking,1,emoji_cooking
0,emoji_white_exclamation_mark,2,emoji_white_exclamation_mark
0,emoji_raised_hand,8,emoji_raised_hand
0,emoji_speaking_head,10,emoji_speaking_head
0,emoji_snake,3,emoji_snake
0,emoji_left,4,emoji_left
0,emoji_front,1,emoji_front
0,emoji_heart_hands_medium,10,emoji_heart_hands_medium
0,emoji_cross_mark_button,23,emoji_cross_mark_button
0,emoji_heavy_dollar_sign,1,emoji_heavy_dollar_sign
0,emoji_flamingo,2,emoji_flamingo
0,emoji_strawberry,7,emoji_strawberry
0,emoji_flexed_biceps_dark_skin_tone,1,emoji_flexed_biceps_dark_skin_tone
0,emoji_backhand_index_pointing_right,2,emoji_backhand_index_pointing_right
0,emoji_backhand_index_pointing_left,2,emoji_backhand_index_pointing_left
0,emoji_soccer_ball,6,emoji_soccer_ball
0,emoji_snowflake,5,emoji_snowflake
0,emoji_squid,4,emoji_squid
0,emoji_lipstick,2,emoji_lipstick
0,emoji_ok_hand,49,emoji_ok_hand
0,emoji_hand_with_fingers_splayed,10,emoji_hand_with_fingers_splayed
0,emoji_black_flag,1,emoji_black_flag
0,emoji_minus,1,emoji_minus
0,emoji_call_me_hand_light_skin_tone,16,emoji_call_me_hand_light_skin_tone
0,emoji_anxious_face_with_sweat,20,emoji_anxious_face_with_sweat
0,emoji_speak,2,emoji_speak
0,emoji_smiling_cat_with_heart,28,emoji_smiling_cat_with_heart
0,emoji_pinched_fingers_light_skin_tone,2,emoji_pinched_fingers_light_skin_tone
0,emoji_deaf_person_light_skin_tone,1,emoji_deaf_person_light_skin_tone
0,emoji_face_without_mouth,7,emoji_face_without_mouth
0,emoji_check_mark,18,emoji_check_mark
0,emoji_musical_notes,3,emoji_musical_notes
0,emoji_man_dancing,19,emoji_man_dancing
0,emoji_cloud,1,emoji_cloud
0,emoji_alien,2,emoji_alien
0,emoji_double_curly_loop,1,emoji_double_curly_loop
0,emoji_genie,3,emoji_genie
0,emoji_heart_hands_light_skin_tone,14,emoji_heart_hands_light_skin_tone
0,emoji_oncoming_fist,10,emoji_oncoming_fist
0,emoji_downcast_face_with_sweat,29,emoji_downcast_face_with_sweat
0,emoji_backhand_index_pointing_down,17,emoji_backhand_index_pointing_down
0,emoji_hear,8,emoji_hear
0,emoji_teddy_bear,6,emoji_teddy_bear
0,emoji_paperclip,4,emoji_paperclip
0,emoji_money_bag,6,emoji_money_bag
0,emoji_dvd,4,emoji_dvd
0,emoji_bell,8,emoji_bell
0,emoji_crystal_ball,7,emoji_crystal_ball
0,emoji_rainbow,11,emoji_rainbow
0,emoji_oncoming_police_car,4,emoji_oncoming_police_car
0,emoji_globe_showing_europe,6,emoji_globe_showing_europe
0,emoji_banana,11,emoji_banana
0,emoji_fox,7,emoji_fox
0,emoji_broom,2,emoji_broom
0,emoji_frog,1,emoji_frog
0,emoji_face_with_head,6,emoji_face_with_head
0,emoji_yellow_heart,3,emoji_yellow_heart
0,emoji_green_heart,14,emoji_green_heart
0,emoji_baby_angel,2,emoji_baby_angel
0,emoji_person_facepalming_light_skin_tone,3,emoji_person_facepalming_light_skin_tone
0,emoji_woman_with_headscarf,1,emoji_woman_with_headscarf
0,emoji_mirror,3,emoji_mirror
0,emoji_dashing_away,7,emoji_dashing_away
0,emoji_herb,3,emoji_herb
0,emoji_palms_up_together_medium,2,emoji_palms_up_together_medium
0,emoji_raised_fist,7,emoji_raised_fist
