index,slang_word
991,kudanil
992,brobro
993,dizaman
994,boxing
995,kondong
996,ravishing
997,ngerugiin
998,kuhapus
999,batmannnnn
1000,henntak
1001,robbal
1002,nspsu
1003,skarang
1004,pikirinn
1005,bnrn
1006,tel4njang
1007,aidzin
1008,strangers
1009,mapann
1010,gamonnya
1011,mongso
1012,efortnya
1013,taglaut
1014,acehh
1015,lusi
1016,idioma
1017,unlk4d
1018,madusa
1019,puloe
1020,doodstream
1021,minjem
1022,loy
1023,jadinyaa
1024,cantiya
1025,kautu
1026,rapid
1027,meee
1028,kmu
1029,ho
1030,pikirannya
1031,curioso
1032,bahingan2
1033,khianati
1034,pue
1035,dipukul
1036,memknya
1037,capcut
1038,allahummaghfirlahu
1039,sosmet
1040,lntea
1041,ardea
1042,ajck
1043,miskinkan
1044,pelan2
1045,gift
1046,dipedulikan
1047,soswit
1048,pendetanya
1049,gemez
1050,sass
1051,anie
1052,dilancarin
1053,sipaling
1054,doanyaa
1055,dibehel
1056,l3
1057,nazis
1058,matter
1059,lacvr
1060,diinginkan
1061,emg
1062,sewenana
1063,suramnya
1064,melangitkan
1065,satuu
1066,ngucap
1067,zir
1068,yiuu
1069,tlah
1070,disgust
1071,singapore
1072,terusssss
1073,gyusss
1074,mother
1075,aaamiiin
1076,nyaiin
1077,bermanfa
1078,pegel
1079,nggagas
1080,luna
1081,apasih
1082,2738363
1083,enakin
1084,pakey
1085,kya
1086,l1
1087,palembangni
1088,jokobi
1089,sinin
1090,surabya
1091,ngehe
1092,achaduanla
1093,tengorokan
1094,denganmu
1095,kayaaa
1096,hug
1097,nualllllll
1098,ilahailallah
1099,eggre
1100,viaaaaaaaaaaaaaaa
1101,silence
1102,rudalnya
1103,grrepe
1104,haramm
1105,biyoh
1106,poinya
1107,pool
1108,mukax
1109,dzolimi
1110,bagusla
1111,click
1112,jerq
1113,panass
1114,bhw
1115,ngudud
1116,teloransii
1117,subcerib
1118,rakussssd
1119,tercandu
1120,suroboyoe
1121,204
1122,apps
1123,knpsih
1124,dilepas
1125,dblng
1126,momoland
1127,geteeee
1128,awud
1129,woooooooow
1130,gemot
1131,carax
1132,oplasnya
1133,words
1134,kifarah
1135,2t
1136,cuuy
1137,waduhhhhhhh
1138,sanah
1139,jgnlah
1140,beramai
1141,bing
1142,aee
1143,ultamannn
1144,perzinahan
1145,mswfuia
1146,amw
1147,berkembangnya
1148,dirimu
1149,ngaji
1150,eunice
1151,nyesel2
1152,ramai2
1153,normal2
1154,penuhh
1155,game
1156,awakk
1157,batlefolrt
1158,overthinking
1159,bedaan
1160,ngebray
1161,gatauuu
1162,bco
1163,photoshop
1164,lidaaa
1165,52thn
1166,sinte
1167,mampusin
1168,tandingamnya
1169,simpelnya
1170,jiga
1171,banglades
1172,asep
1173,paiton
1174,embarrassed
1175,subscrube
1176,anjiirr
1177,iklanya
1178,anehkan
1179,wilisalim
1180,goyo
1181,donng
1182,gadibolehin
1183,nyicipin
1184,garosero
1185,blak2an
1186,700
1187,apikkk
1188,semangatt
1189,kontenye
1190,ngomenin
1191,77
1192,dsna
1193,adaada
1194,kontennn
1195,sssuuttttt
1196,makmurnya
1197,abisnya
1198,kluivert
1199,more
1200,president01
1201,coeg
1202,3some
1203,electronic
1204,nggih
1205,24d
1206,ass
1207,wajarlah
1208,zara
1209,damanik
1210,pulangggg
1211,pppp
1212,walidd
1213,mikirr
1214,fikirkan
1215,20rban
1216,kasihnya
1217,mllu
1218,makarang
1219,vidnya
1220,jadilan
1221,mantannn
1222,bwt
1223,huahahha
1224,7
1225,sampeyam
1226,taeil
1227,qobul
1228,ggal
1229,faseh
1230,ramekan
1231,kodong
1232,yan
1233,nergri
1234,east
1235,turumu
1236,smua
1237,panjaluu
1238,meisita
1239,dijerman
1240,yakkk
1241,kajak
1242,rene
1243,menjatuh
1244,ngehujattt
1245,contonya
1246,manopo
1247,vegapunk
1248,dzikirnya
1249,nahaaaaan
1250,ra77
1251,bekase
1252,plembg
1253,ngeluh
1254,ngetiknya
1255,1jam
1256,lngsg
1257,tlol
1258,grow
1259,keganggu
1260,dasare
1261,badahal
1262,geuliss
1263,sesimpel
1264,okeh
1265,missessesalnya
1266,cantick
1267,wasn
1268,adaaaa
1269,ambyarrrrrrrrr
1270,qeeeee
1271,sumutnya
1272,hargain
1273,pawangnya
1274,anjirt
1275,pasca
1276,sby
1277,kuto
1278,lgii
1279,memekmu
1280,eggk
1281,10006
1282,durasiiiii
1283,majoriti
1284,ngeti
1285,jigonfg
1286,lanjutkenn
1287,kakwoaakwkwkwkw
1288,everybody
1289,kalie
1290,kejelekanbaru
1291,terlasu
1292,vidioo
1293,opylany
1294,waiter
1295,awokwkwkwkw
1296,alfatih
1297,kejinya
1298,icha
1299,marai
1300,tissue
1301,diuk
1302,adek2an
1303,icibossss
1304,job
1305,tatanegara
1306,maseh
1307,bikmo
1308,sck
1309,rakuattii
1310,rfid
1311,luculu
1312,lenot
1313,sukaa
1314,assalamu
1315,statement
1316,filterr
1317,wkkwkww
1318,hamili
1319,bodinya
1320,coveted
1321,inihttps
1322,partny
1323,kedada
1324,nentu
1325,pencarianku
1326,ngerebutin
1327,busett
1328,suuup
1329,tlnjng
1330,bolong2
1331,oknuk
1332,vivacious
1333,menganggu
1334,ajiggggg
1335,deleted
1336,rosak
1337,chaplin
1338,jager
1339,gawendeng
1340,marcocop
1341,dblg
1342,robbuka
1343,thales
1344,ketolol
1345,tulgak
1346,adeknya
1347,negoro
1348,setnya
1349,shre
1350,tasbi
1351,ngenyek
1352,broh
1353,mldak
1354,melekbareng
1355,beratkan
1356,ketangkep
1357,haahaha
1358,ngejilatin
1359,667
1360,papap
1361,dbcok
1362,kacau2
1363,africa
1364,nylafkahin
1365,tadarussan
1366,nyolot
1367,astagaaaa
1368,terbuktikan
1369,knpp
1370,kasihilah
1371,nambah2
1372,hoheng
1373,amoba
1374,gantinya
1375,maeh
1376,gituin
1377,merrka
1378,choko
1379,guee
1380,gasih
1381,polosnya
1382,ngana
1383,panitianya
1384,remukan
1385,cieeeee
1386,sesnsitif
1387,anyibggggg
1388,paranin
1389,ciyeeeee
1390,jd
1391,diajak
1392,october
1393,bnjir
1394,haryati
1395,stunter
1396,ready
1397,ingt
1398,eluu
1399,pnggungg
1400,part
1401,morosot
1402,metuek
1403,janjian
1404,ujung2kna
1405,liatnye
1406,ibaye
1407,kumainin
1408,ngmgin
1409,gantenggggg
1410,handeh
1411,bling2
1412,koun
1413,react
1414,sayamst
1415,meming
1416,iii
1417,bukunya
1418,kelassss
1419,puasila
1420,ulahnya
1421,kono
1422,pahamkan
1423,nepy
1424,enthralling
1425,1900
1426,micrphone
1427,naell
1428,lngsung
1429,filsuff
1430,menjelakan
1431,tebala
1432,ngecatcalling
1433,lope
1434,mngacaukan
1435,cukuplah
1436,vapor
1437,bayang2in
1438,kebawah
1439,setipa
1440,43
1441,peradabannya
1442,mita
1443,diuoload
1444,woke
1445,pelecahan
1446,maju2
1447,kputsan
1448,membelamu
1449,turuunn
1450,benr
1451,habibie
1452,termegah
1453,habuster
1454,beww
1455,memposting
1456,yutubnya
1457,subrekkk
1458,pempeknya
1459,tahuj
1460,kakk
1461,jenisnya
1462,nugroho
1463,kebruntungan
1464,samsudin
1465,konen
1466,brow
1467,bakatmu
1468,bangkitnya
1469,nurul
1470,video2nya
1471,besarkan
1472,sbenarnya
1473,hitut
1474,rendng
1475,pikirin
1476,gaah
