komentar_id,Username,T_komentar,link
Ugylg6Dj222Sx2u1OQV4AaABAg,@dandykwan,"Agak gemes sama bagian  ""try and error"" hehehe
Selebihnya ok banget infonya",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugwrdgpt-59x1wBgHxR4AaABAg,@rizkisapari3113,"Kalo gk mau odm, pilihan nya paling apple atau hp .. brand besar lain juga banyak yg oem dan odm ..",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwJx4JO-DMJNL4PKTR4AaABAg,@SentryConstructAverado,">Background orange
>Nyerang odm
>Title kasar

Hampir kukira mang kutang ini tadi wkwkkw",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgzVcV80cXgWg6Xzhx54AaABAg,@Fajarnarendra,"Gw mana peduli jir
Kalo lagi ada duit ya beli lenovo ato hp
Kalo lg gada duit ya lokal lebih murah, dapet 2in1 lagi..",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgzSw_bPh6MMavYSLxR4AaABAg,@jakem.3067,"aku pake axioo yg disebut divideo, alhamdulilah bgt ga ada error, pernah sekali error tombol w nyangkut, baru 5 menit kirim laporan langsung dibales, ditambah dikasih opsi laptop dijemput kurir, beehh mantep, sehari langsung sembuh",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgyB9LUAJ4aZjyP-fax4AaABAg,@Amsyogie,"waah terima kasih banyak ilmu nya bang, berkah untuk DKID MEDIA sukses selalu",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgxOzraLGTvZz-uEDwp4AaABAg,@fmym9923,"apaan dah, jadi ini video buat siapa? end user atau brand? dr judul, jangan beli odm kalau,,,? kalau apa? kalau service centernya masih dikit?? kalau brand supportnya masih jelek? jadi kesimpulan end usernya apa? nanggung amat ni video kaga ada kesimpulannya",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgxOzraLGTvZz-uEDwp4AaABAg.AO8rocqUnXuAOai5USGMfw,@EmirZain-b4p,@fmym9923 gw pakai axio 7 taunan awet,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgycNmhhh0ZMrOHXtMx4AaABAg,@nakagawaryan,Odm teriak support lokal 😂,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwxqXRmetUuM6WwmvV4AaABAg,@Nofansyah-h4u,Wow aku baru beli laptop advan😂,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwxqXRmetUuM6WwmvV4AaABAg.AO3G17xLdY1AO755z4HBKj,@BagusPerwira,@Nofansyah-h4u dan aku tidak menyesal😂,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwxqXRmetUuM6WwmvV4AaABAg.AO3G17xLdY1AO7IQKFdmUK,@Nofansyah-h4u,​@BagusPerwiraaman lek😂,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwxqXRmetUuM6WwmvV4AaABAg.AO3G17xLdY1APhWLM9BC8J,@Gorestzka,"Biasanya nanti setelah masa garansi habis, soalnya sparepart susah",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgzgvCBFt57pyBwiUMZ4AaABAg,@bragshunt,Brand OEM internasional aja aftersalesnya kadang juga sampah. Lama bgt indent sparepartnya.,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgyW5san3H5OC4K0KsF4AaABAg,@abdu7095,"Di dunia HP, ada Tecno dan infinix.. mirip2 11/12 lah",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgyW5san3H5OC4K0KsF4AaABAg.ANrj4uSZR0QAOm2WWdDSOG,@jsp458,"@abdu7095 ya wajar sih, Tecno sama Infinix itu berada di naungan perusahaan yang sama walaupun bersaing juga di bidang teknologi (dan brand Itel itu anak paling muda dari perusahaan yang aku maksud 🗿)",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwHvFumGnyN5e51BZt4AaABAg,@ffahrozi053,Kalo nimpa dipikir mas,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwW1h7-1aVsN6OBsN54AaABAg,@FSGAMING-x8z,"Yg bukan ODM aja gw dapet yang ampas. Brand besar, Masuk service center malah dikasih harga stengah harga lapptop baru. Apes apes",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwW1h7-1aVsN6OBsN54AaABAg.ANr5M1HHiWNAOr8CVw6SmI,@chuax-y8q,merek apaan bang?,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwIh8zIk6-sbJTQIQt4AaABAg,@astonmartin1707,Jangan lupa injek iklan semrawud😅😅😅,https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugy48avWjqGU1Bg3MCd4AaABAg,@bayubudiutomo6439,"Apakah ODM bisa sesimple itu penjelasannya? Apakah benar brand lokal ga ada sistem RNDnya? Sumber referensinya darimana?
RND ga melulu berfokus sama apa yg dibangun dan dipasang di device  itu. Tp luas sekali termasuk sampai harga yg bisa diterima oleh pasar.
Sebagai reviewer gawai, seharusnya penjelasannya sampai kearah ini juga. Krn kembali lagi, bukan hanya mutu atau kualitas. Tp dengan harga yang diberikan apa yang bisa didapat.. 
Ya kembali lagi, di video kali ini lebih menyinggung ke arah mengedukasi konsumen dan mendesak brand lokal bahwa kunci untuk bersaing dan bertahan di pasar bukanlah hanya pada harga murah atau spesifikasi, tetapi pada kemampuan mereka memberikan layanan purna jual yang baik dan membangun kepercayaan (trust) bagi pembeli.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugz-XKTDauIlAME4UVt4AaABAg,@Minepixeler24,"Cuma orang bodoh saja yg pusingin ODM & OBM 😮‍💨, bagi saya yg penting spek number 1. Buat apa design unik atau aneh yg original tapi spek pakai celeron 😂, mending design bosenin tapi spek gahar 😅.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugz-XKTDauIlAME4UVt4AaABAg.ANjW947assfANmLHf3oovF,@YutupTong1,Waduh,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgztidX4_LtGeSTq9GZ4AaABAg,@adriredfield,Mas mejanya udah reot deh keknya. Berisik bunyinya hehe,https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugyv555DtHEqZLTBH3F4AaABAg,@nugrahal7208,Apapun merk-nya yang penting bisa make untuk jadi alat cari uang😂. Btw ini konten bagus 👍.,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwnXXsx1H9gMPiavXZ4AaABAg,@Zariusshiki,"memang yang palingdilihat dari produk elektronik tu after sales, kalau after sales bapuk, kapok juga orang beli dari brand yang sama",https://www.youtube.com/watch?v=DPqvYfF5R6Q
